Date,Water Level
12/4/2005,67.06
12/5/2005,67.08
12/6/2005,67.01
12/7/2005,67.01
12/8/2005,67.07
12/9/2005,67.15
12/10/2005,67.16
12/11/2005,67.17
12/12/2005,67.16
12/13/2005,67.14
12/14/2005,67.15
12/15/2005,67.2
12/16/2005,67.19
12/17/2005,67.19
12/18/2005,67.18
12/19/2005,67.16
12/20/2005,67.2
12/21/2005,67.19
12/22/2005,67.17
12/23/2005,67.18
12/24/2005,67.19
12/25/2005,67.25
12/26/2005,67.22
12/27/2005,67.19
12/28/2005,67.21
12/29/2005,67.24
12/30/2005,67.19
12/31/2005,67.19
